review_text,label
El limpiador nada hidratante.,0
El limpiador de mal olor.,0
"Me encanta la máscara facial, es suave.",2
"Me encanta el limpiador, es suave.",2
"Me encanta el limpiador, es perfecta para mi piel.",2
"Me encanta la máscara facial, es efectiva.",2
"Me encanta la crema, es hidratante.",2
Ni bien ni mal.,1
"Me encanta el exfoliante, es agradable.",2
El exfoliante muy cara.,0
Precio aceptable.,1
"Me encanta la hidratante, es duradera.",2
Está bien.,1
La máscara facial pesada.,0
La máscara facial muy cara.,0
La máscara facial pesada.,0
Ni bien ni mal.,1
"Me encanta la crema, es de rápida absorción.",2
"Me encanta el limpiador, es agradable.",2
La crema pesada.,0
"Me encanta la hidratante, es perfecta para mi piel.",2
La base muy cara.,0
"Me encanta la máscara facial, es de rápida absorción.",2
Ni bien ni mal.,1
"Me encanta la base, es no grasa.",2
La máscara facial no cumplió mis expectativas.,0
Cumple su función.,1
"Me encanta la crema, es duradera.",2
Cumple su función.,1
"Me encanta el tónico, es efectiva.",2
El exfoliante pesada.,0
Cumple su función.,1
Envase práctico.,1
"Me encanta la fragancia, es duradera.",2
No vi mucha diferencia.,1
Cumple su función.,1
"Me encanta la hidratante, es ligera.",2
"Me encanta la hidratante, es no grasa.",2
La hidratante no cumplió mis expectativas.,0
Suficiente para el día a día.,1
"Me encanta la base, es perfecta para mi piel.",2
El contorno de ojos no cumplió mis expectativas.,0
"Me encanta la hidratante, es efectiva.",2
El sérum de mal olor.,0
"Me encanta el exfoliante, es efectiva.",2
Ni bien ni mal.,1
"Me encanta la hidratante, es perfecta para mi piel.",2
La crema no cumplió mis expectativas.,0
El tónico me irritó la piel.,0
"Me encanta el limpiador, es hidratante.",2
"Me encanta el contorno de ojos, es ligera.",2
La crema pesada.,0
Suficiente para el día a día.,1
Está bien.,1
El tónico pesada.,0
"Me encanta el tónico, es agradable.",2
El contorno de ojos de mal olor.,0
"Me encanta el sérum, es de rápida absorción.",2
El limpiador me irritó la piel.,0
"Me encanta el tónico, es hidratante.",2
El tónico muy cara.,0
Envase práctico.,1
El contorno de ojos muy cara.,0
Envase práctico.,1
"Me encanta el exfoliante, es duradera.",2
No vi mucha diferencia.,1
Suficiente para el día a día.,1
Ni bien ni mal.,1
"Me encanta la máscara facial, es no grasa.",2
La crema pesada.,0
La fragancia muy cara.,0
"Me encanta la crema, es suave.",2
"Me encanta el sérum, es hidratante.",2
Ni bien ni mal.,1
"Me encanta el tónico, es no grasa.",2
La máscara facial me irritó la piel.,0
Cumple su función.,1
Cumple su función.,1
No vi mucha diferencia.,1
Ni bien ni mal.,1
Suficiente para el día a día.,1
Ni bien ni mal.,1
Está bien.,1
"Me encanta la fragancia, es duradera.",2
"Me encanta la fragancia, es agradable.",2
El limpiador nada hidratante.,0
El sérum el empaque llegó dañado.,0
La máscara facial no cumplió mis expectativas.,0
El tónico nada hidratante.,0
La máscara facial pesada.,0
"Me encanta la crema, es efectiva.",2
El tónico de mal olor.,0
No vi mucha diferencia.,1
"Me encanta la hidratante, es hidratante.",2
"Me encanta el limpiador, es no grasa.",2
Está bien.,1
"Me encanta el exfoliante, es efectiva.",2
"Me encanta la base, es agradable.",2
Ni bien ni mal.,1
Precio aceptable.,1
Precio aceptable.,1
"Me encanta el exfoliante, es perfecta para mi piel.",2
Ni bien ni mal.,1
"Me encanta el limpiador, es duradera.",2
Está bien.,1
Cumple su función.,1
"Me encanta el exfoliante, es agradable.",2
"Me encanta el limpiador, es suave.",2
"Me encanta el tónico, es de rápida absorción.",2
"Me encanta el sérum, es agradable.",2
"Me encanta el contorno de ojos, es no grasa.",2
No vi mucha diferencia.,1
El tónico me irritó la piel.,0
No vi mucha diferencia.,1
Precio aceptable.,1
La hidratante nada hidratante.,0
La máscara facial no cumplió mis expectativas.,0
Envase práctico.,1
La crema de mal olor.,0
La máscara facial muy cara.,0
"Me encanta el sérum, es agradable.",2
"Me encanta la fragancia, es ligera.",2
Ni bien ni mal.,1
La crema pesada.,0
El sérum demasiado oleosa.,0
"Me encanta el contorno de ojos, es efectiva.",2
"Me encanta el contorno de ojos, es efectiva.",2
"Me encanta el limpiador, es duradera.",2
"Me encanta la máscara facial, es hidratante.",2
La crema muy cara.,0
"Me encanta la hidratante, es perfecta para mi piel.",2
Está bien.,1
Envase práctico.,1
Suficiente para el día a día.,1
"Me encanta el tónico, es duradera.",2
Envase práctico.,1
"Me encanta el contorno de ojos, es agradable.",2
Envase práctico.,1
El sérum no cumplió mis expectativas.,0
"Me encanta el tónico, es de rápida absorción.",2
La crema no cumplió mis expectativas.,0
No vi mucha diferencia.,1
El contorno de ojos el empaque llegó dañado.,0
"Me encanta el limpiador, es efectiva.",2
"Me encanta la crema, es suave.",2
"Me encanta el tónico, es ligera.",2
El limpiador pesada.,0
El exfoliante pesada.,0
La crema muy cara.,0
No vi mucha diferencia.,1
"Me encanta el exfoliante, es agradable.",2
"Me encanta el exfoliante, es duradera.",2
La máscara facial pesada.,0
La crema no cumplió mis expectativas.,0
"Me encanta la hidratante, es perfecta para mi piel.",2
Suficiente para el día a día.,1
Cumple su función.,1
El tónico no cumplió mis expectativas.,0
Suficiente para el día a día.,1
El limpiador me irritó la piel.,0
El exfoliante demasiado oleosa.,0
"Me encanta el contorno de ojos, es ligera.",2
"Me encanta la fragancia, es ligera.",2
"Me encanta el limpiador, es ligera.",2
"Me encanta el contorno de ojos, es duradera.",2
"Me encanta el contorno de ojos, es no grasa.",2
Cumple su función.,1
"Me encanta el exfoliante, es suave.",2
"Me encanta la hidratante, es efectiva.",2
La crema demasiado oleosa.,0
La crema no cumplió mis expectativas.,0
"Me encanta la crema, es no grasa.",2
Precio aceptable.,1
"Me encanta la base, es ligera.",2
La fragancia nada hidratante.,0
"Me encanta el limpiador, es no grasa.",2
El tónico el empaque llegó dañado.,0
"Me encanta la crema, es duradera.",2
Cumple su función.,1
El tónico pesada.,0
El limpiador de mal olor.,0
"Me encanta el exfoliante, es hidratante.",2
Cumple su función.,1
El exfoliante me irritó la piel.,0
Cumple su función.,1
El limpiador pesada.,0
Está bien.,1
La base no cumplió mis expectativas.,0
"Me encanta la hidratante, es agradable.",2
No vi mucha diferencia.,1
"Me encanta el exfoliante, es duradera.",2
El contorno de ojos no cumplió mis expectativas.,0
Está bien.,1
El exfoliante me irritó la piel.,0
"Me encanta el exfoliante, es perfecta para mi piel.",2
"Me encanta la máscara facial, es suave.",2
"Me encanta la máscara facial, es suave.",2
"Me encanta el limpiador, es no grasa.",2
Envase práctico.,1
"Me encanta el contorno de ojos, es de rápida absorción.",2
